KOS	= "countries/Kosovo.txt"
MSC	= "countries/Moscow.txt"
CAU	= "countries/Caucas.txt"
URL	= "countries/Cis-Ural.txt"
URA	= "countries/Trans-Ural.txt"
PSA	= "countries/PacificS.txt"
NTA	= "countries/DesertS.txt"
RGN     = "countries/England.txt"
OUN     = "countries/Oukraine.txt"
NNC     = "countries/Nizhny.txt"
SBR     = "countries/S.Brazil.txt"
ING     = "countries/Ingerm.txt"
PNZ     = "countries/Penza.txt"
ARS     = "countries/Arhangelsk.txt"
IVN     = "countries/Ivanovo.txt"
YAR     = "countries/Yaroslavl.txt"
VLG     = "countries/Vologda.txt"
NVG     = "countries/Novgorod.txt"
RZN     = "countries/Ryazan.txt"
RJV     = "countries/Rjov.txt"
VLH     = "countries/Volhov.txt"
THV     = "countries/Tihvin.txt"
TVR     = "countries/Tver.txt"
LUG     = "countries/Luga.txt"
NVL     = "countries/Nevel.txt"
PSK     = "countries/Pskov.txt"
SRT     = "countries/Saratov.txt"
TMB     = "countries/Tambov.txt"
